fecha_publicacion,fecha_larga,agno,nivel,entidad,seccion,titulo,subtitulo,descripcion,presupuesto,num_beneficiarios,link_publicacion
30/10/2020,Viernes 30 de Octubre del 2020  ,2020,Alcaldía,Magdalena Contreras,Cultura,Contreras te cuida con cenas,"Contreras te cuida, Cenas Navideñas",Se otorgarán cenas navideñas a domicilio en el marco de las festividades.,3965177.44,640,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/d3f7b49bcb3cfea3806aa7e031f2a68d.pdf
30/10/2020,Viernes 30 de Octubre del 2020  ,2020,Alcaldía,Magdalena Contreras,Salud,Contreras te cuida con respeto,Contreras te  Cuida #Por Amor y Respeto,"Se otorgarán kits de cubrebocas a 20,000 habitantes de la demarcación",1000000,20000,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/d3f7b49bcb3cfea3806aa7e031f2a68d.pdf
3/11/2020,Martes 3 de Noviembre del 2020  ,2020,Central,Secretaría de Movilidad,Transporte,Sustitución de taxis por híbridos,"Apoyo para la sustitución de los vehículos modelo 2010 y anteriores, así como los vehículos 2011 o posteriores que ya no estén en condiciones de brindar el servicio que quieran adherirse; con los que prestan el servicio los solicitantes de transporte público individual “taxi”, por vehículos híbridos, eléctricos o altamente eficientes","Se entregarán transferencias monetarias a 460 solicitantes para la renocación de vehículos que brindan el Servicio de Transporte Público Individual, Taxi, en la Ciudad de México, cuyas unidades cuenten con más de diez años de servicio.",29900000,460,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4335fdcefc89a67279d85f2e07fa5ff2.pdf
5/11/2020,Jueves 5 de Noviembre del 2020  ,2020,Alcaldía,Iztacalco,Educación,Apoyo a estudiantes escuelas Iztacalco,Apoyo Único para Estudiantes Inscritos en las 70 Escuelas Primarias Públicas de Iztacalco,"Se otorgará a 34,000 estudiantes de nivel primaria y Centros de Desarrollo infantil (CENDIS) de la demarcación, una transferencia monetaria de $300 pesos.",10200000,34000,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/141fc6e9149f23deac4c0ac5ddcdc48e.pdf
5/11/2020,Jueves 5 de Noviembre del 2020  ,2020,Alcaldía,Miguel Hidalgo,Alimentación,Paquetes alimentarios ante contingencia COVID,Entrega de Paquetes Alimentarios ante la Contingencia Sanitaria Derivada del Virus Covid-19,"Se otorgará un paquete alimentario con productos de la canasta básica, a 30,000 personas residentes de la Alcaldía Miguel que se entregará en una sola exhibición a cada beneficiario.",9270000,30000,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/141fc6e9149f23deac4c0ac5ddcdc48e.pdf
5/11/2020,Jueves 5 de Noviembre del 2020  ,2020,Alcaldía,Milpa Alta,Empleo,Misión para solidaridad económica,Misión para la Solidaridad Económica,"Se otorgarán 2,550 transferencias monetarias a hombres y mujeres comerciantes afectados por el cierre de su actividad productiva. El apoyo otorgado se distribuye de la siguiente forma: 1,000 comerciantes con negocio establecido, con la cantidad de $3,000 pesos; 1,300 comerciantes de la vía pública, con la cantidad de $1,500 pesos y 250 locatarios de los mercados de la Alcaldía, con la cantidad de $2,000 pesos.",5450000,2550,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/141fc6e9149f23deac4c0ac5ddcdc48e.pdf
2/12/2020,Miércoles 2 de Diciembre del 2020  ,2020,Alcaldía,Azcapotzalco,Vivienda,Rehabilitación fachadas Plaza Palomares,Rehabilitación de Fachadas en la Plaza Palomares,"Se renovarán 370 departamentos mediante la rehabilitación de fachadas a través de la aplicación de pintura y remozamiento en edificios de la Plaza denominada “Palomares”, dentro de la Unidad Habitacional el Rosario.",1607048.76,370,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/c14d70959016ca2e16dcccc04a2cf723.pdf
3/12/2020,Jueves 3 de Diciembre del 2020  ,2020,Alcaldía,Gustavo A. Madero,Inclusión,Matrimonios colectivos realizados 2020,Matrimonios Colectivos 2020,"Se entregará a un máximo de 1,000 parejas contrayentes, lo correspondiente a un total de $500 pesos de tal manera que comprenderá los siguientes rubros: $425 pesos serán destinados para un obsequio por pareja contrayente y hasta $75 pesos, correspondientes al pago de derechos por la expedición de la copia certificada del Acta de Matrimonio.",800000,1000,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/f771ce079a57c337c37df59c3f4a872c.pdf
4/1/2021,Lunes 4 de Enero del 2021  ,2021,Central,Secretaría del Trabajo,Económico,Apoyo emergente a población trabajadora informal,"Apoyo Emergente para población trabajadora en servicios de preparación de alimentos y bebidas, personas trabajadoras que elaboran y venden artesanías, así como personas adultas mayores empacadoras en supermercados","Se otorgarán transferencias monetarias por un monto de $2,200, en una sola exhibición a un total de hasta 150,000 personas. ",330000000,150000,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/7d8d9097285d7c8a45e6c740da2bbade.pdf
29/01/2021,Viernes 29 de Enero del 2021  ,2021,Alcaldía,Azcapotzalco,Alimentación,Comedores Azcapotzalco apoyan vulnerabilidad,"Comedores Comunitarios Azcapotzalco, (Apoyo Alimenticio a Población en Condiciones de Vulnerabilidad)","Se otorgarán servicios de alimentación para llevar a través de nueve comedores ubicados en la demarcación. Se estima una cantidad de 65,000 usuarios. ",4800000,9,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/5c402da778687ada5cf2c98b2edb0fca.pdf
2/2/2021,Martes 2 de Febrero del 2021  ,2021,Alcaldía,Magdalena Contreras,Funerario,Servicio funerario básico otorgado,Apoyo de Servicio Funerario Básico,Se proporcionarán 112 servicios funerarios básicos de forma gratuita.,1500000,112,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/8f80591aa47e5973c2aff19cfac3e548.pdf
4/2/2021,Jueves 4 de Febrero del 2021  ,2021,Central,DIF,Alimentación,Alimentos escolares emergentes entregados 2021,Apoyo Emergente de Alimentos Escolares 2021,"Entrega de 1,000,000 de paquetes a alimentarios a niñas, niños y adolescentes. ",273020000,1000000,https://www.dif.cdmx.gob.mx/storage/app/uploads/public/601/aeb/cd2/601aebcd2765e981840810.pdf
5/2/2021,Viernes 5 de Febrero del 2021  ,2021,Alcaldía,Iztapalapa,Empleo,Empleo a familias afectadas por COVID,"Acción Social Emergente para el Empleo a Familias cuyo Sostén Económico Falleció por COVID-19, o alguna enfermedad asociada, 2021","Se otorgarán transferencias monetarias de $2,000  en vales durante tres ministraciones a 1,735 familias en la demarcación cuyo sostén económico haya fallecido por COVID-19.  ",10410000,1735,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/ad9507e1442f74596e83df227d0664cd.pdf
5/2/2021,Viernes 5 de Febrero del 2021  ,2021,Alcaldía,Iztapalapa,Alimentación,Apoyo alimentario emergencia 2021,"Apoyo Alimentario de Emergencia, 2021","Se otorgarán 20,000 paquetes alimentarios a personas diagnosticadas con COVIS-19 y que sean residentes de la demarcación. ",6000000,20000,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/ad9507e1442f74596e83df227d0664cd.pdf
